"","siderite","FeS","Viv","CaCO3","Apatite","MnCO3"
"348",0.105162414201324,257.971070387588,233.668576914714,0.429972883565488,1707.25141510955,0.0483865957418695
"349",0.103703018052104,253.311873389641,228.187586315529,0.423870368455929,1701.98338143464,0.0480365586004149
"350",0.10235137099603,248.987667041004,223.011114149137,0.418021356731879,1696.44250159873,0.0477190960212557
"351",0.100968358978166,244.598640063455,217.841439671086,0.412233161676681,1690.79232587657,0.0474122627400086
"352",0.099639002791934,240.386359267619,212.858014378946,0.406603855197732,1684.96128226483,0.0471272624013533
"353",0.0985928306794618,236.996238806298,208.529452894438,0.401438087172406,1678.71505834051,0.0468997056798088
"354",0.0971584012324561,232.530717321686,203.472972675026,0.395850889022621,1672.77801314233,0.0466257077596462
"355",0.0958800916820755,228.573372047742,198.810995678241,0.390519086698467,1666.61413551827,0.0463843131522203
"356",0.0945643429903033,224.531964870074,194.146059282663,0.385225853043158,1660.40695293798,0.0461498502442973
"357",0.0933547416398386,220.806716473543,189.76436494545,0.380152813733527,1654.02045312412,0.045944038222833
"358",0.0921641141921078,217.152977797749,185.489891485357,0.375176245812116,1647.5638742475,0.0457519647581955
"359",0.0909550130501865,213.467894747019,181.248986627351,0.37025346363959,1641.08180431816,0.0455681621653128
"360",0.0897828250070899,209.903235796001,177.149009660959,0.365449479307588,1634.53280231833,0.0454004287281532
"361",0.088628394231332,206.405561727361,173.15153228679,0.360735625945909,1627.94950953844,0.0452450828688092
"362",0.087450592796913,202.862595901504,169.177926730214,0.356057806765638,1621.38407534365,0.045095093582454
"363",0.0864043300558768,199.694702833364,165.517599396926,0.351614494059492,1614.68875036088,0.0449755515910745
"364",0.085244966147612,196.238947309286,161.712057676991,0.347091073170353,1608.12047705459,0.0448460551644641
"365",0.0841287681826201,192.917531961333,158.052434463173,0.342675425379511,1601.53828764492,0.0447304207002387
"366",0.0831171470028069,189.893638776825,154.646934256164,0.338445461300942,1594.88768945496,0.0446388988235317
"367",0.082011262415485,186.636167143449,151.13286357797,0.334158422377846,1588.36580260476,0.0445392744708606
"368",0.0809244537651266,183.448267580545,147.715777262659,0.329952010417743,1581.86921082619,0.044449447513867
"369",0.0798905065175322,180.418734939672,144.453114210742,0.3258672951837,1575.36975797761,0.0443749375635378
"370",0.0788329765117146,177.345601384447,141.208131331468,0.321806763510167,1568.94680092036,0.044302371486938
"371",0.0778489278132824,174.482944528748,138.148731310925,0.317884273902507,1562.51509651621,0.0442472971383003
"372",0.0769104651972316,171.755839048865,135.222731321435,0.314063452174412,1556.10711850542,0.0442047159715613
"373",0.0758454486322509,168.717199846365,132.135698582875,0.310130555957897,1549.89011312793,0.0441441182020224
"374",0.0749390409066618,166.107447941172,129.370872987238,0.306440875650058,1543.59236299259,0.0441158024541343
"375",0.0739080120566279,163.194271874778,126.448953263423,0.302641641487952,1537.48561589235,0.0440690229376728
"376",0.0729850114132714,160.576794986162,123.757917560067,0.299019074782984,1531.35081617531,0.0440450770925501
"377",0.0720026850918866,157.825697868159,121.018271343098,0.295366527058589,1525.34562037299,0.0440135877091605
"378",0.0711302495089063,155.372608276921,118.505488964173,0.291893982555827,1519.30990533976,0.0440057100016301
"379",0.0701948905854517,152.777498872543,115.936643902033,0.288385244800843,1513.40787616945,0.0439889085398706
"380",0.0693530687534422,150.435934931213,113.562395590342,0.285030253340446,1507.49594324475,0.043991939213733
"381",0.0683828467442364,147.789550409413,111.027603402509,0.281561829683749,1501.77504018155,0.0439734142552713
"382",0.0676293941461455,145.703501184838,108.876373983847,0.278398289981694,1495.92942737979,0.0439985667055462
"383",0.0666667553707351,143.112444174838,106.438608313101,0.275019810106361,1490.34921043641,0.0439853859829535
