"","R.ALK","R.DIC","R.TOT_P","R.TOT_N5","R.TOT_N3","R.TOT_S6","R.TOT_S2","R.CH4","R.O2","R.N2","R.Mn2","R.Fe2","R.Ca2","R.MnO2","R.OM","R.OM_beta","R.FeOH3","R.FeOH3_P","R.FeCO3","R.S0","R.FeS","R.Viv","R.CaCO3","R.Apatite","R.MnCO3"
"26",-81127694.1638016,59.996278826369,-635.016431727935,-1.52577706608936,7.70707705095336,-15.2134490663419,-40563278.9600491,0.88846320348184,-31.4464661486266,0.762888533044679,0,-40564184.3127237,-0.107269126485213,0,-67.8223036417117,0,-49.2034530566351,-1.49977963008399,6.93756161186093,20.8220331017078,40563273.351465,318.24230990411,0,0.0357563754950711,0
"27",-94564687.3834933,53.8731568239111,-719.817253621447,-1.73669152847095,7.59428507123235,-16.7795182244061,-47281686.9785819,0.970469627061994,-25.84170172507,0.868345764235477,0,-47282724.9308975,-0.114482511554665,0,-66.8297338456122,0,-50.0519367536863,-4.87815116610461,11.9861073946391,20.8306599458609,47281682.9274402,361.649145916981,0,0.0381608371848884,0
"28",-109410437.386055,46.5182042790137,-810.007870919822,-1.75392336817842,7.48267911234815,-18.4105810534083,-54704466.4565223,1.05666575637629,-20.4632599897354,0.876961684089208,0,-54705646.6041152,-0.121730199225093,0,-65.847601036815,0,-50.7874756400407,-7.81878985615068,18.272731001425,20.7882463135206,54704464.078857,407.619597575364,0,0.0405767330750311,0
"29",-125730779.261265,38.0496197172655,-905.487360661839,-1.63284878680576,7.37225358420892,-19.9935264756931,-62864535.0733758,1.14075383488772,-15.5279823841599,0.81642439340288,0,-62865866.7413434,-0.129047222873478,0,-64.8758560224936,0,-51.3047371932448,-10.2508133461933,25.6854824703404,20.7012712023893,62864534.3656311,456.081926782605,0,0.043015740957826,0
"30",-143587499.500769,28.5963398298194,-1006.14238659702,-1.42174111322503,7.26300283869945,-21.4156096522624,-71792786.2491752,1.216433455031,-11.2485079306503,0.710870556612517,3.28021473707349e-11,-71794278.4430954,-0.136464236809098,-3.28021473707349e-11,-63.9144490992152,0,-51.5168232520067,-12.131754908915,34.1016758143648,20.5749319556,71792787.0898529,506.966714942718,0,0.0454880789363661,0
"31",-163033353.418747,18.2842713355467,-1111.66155715362,-1.1664311304582,7.15492117008794,-22.5881904722811,-81515598.0506169,1.27871799053523,-7.76833687756051,0.583215565229102,2.77251998346457e-10,-81517259.1450381,-0.143980460719173,-2.77251998346457e-10,-62.9633300565211,0,-51.3742763978255,-13.4638597101198,43.4003407304391,20.4127933737396,81515600.226014,560.11893984283,0,0.0479934869063909,0
"32",-184066107.135791,7.1782735924612,-1221.50067218602,-0.906927775659005,7.04800281603431,-23.4668713982802,-92031854.157199,1.32506357783273,-5.12049404709474,0.453463887829502,2.32161962214729e-09,-92033691.6110493,-0.151518940352244,-2.32161962214729e-09,-62.0224481857993,0,-50.8682622302663,-14.2929220667199,53.5191110155054,20.2117432170048,92031857.4123272,615.280265117435,0,0.0505063134507481,0
"33",-206721607.216096,-4.62038633422316,-1335.07459096415,-0.67215953902934,6.94224195832677,-24.0550809125462,-103359478.610542,1.35558454895087,-3.23128793201115,0.33607976951467,5.10601607918073e-11,-103361498.848566,-0.15905939307284,-5.10601607918073e-11,-61.091752286767,0,-50.0447739189095,-14.7027524196679,64.3565540720393,19.9758951533896,103359482.689728,672.183270053144,0,0.0530197976909466,0
"34",-231010198.605039,-17.0405822968914,-1451.77779452558,-0.477667636385807,6.83763272416009,-24.3913585253804,-115503644.647573,1.37235028636451,-1.96026356495332,0.238833818192904,0,-115505853.073861,-0.166564394613391,0,-60.1711906787185,0,-48.9703656283674,-14.7890016531514,75.8394226892454,19.7068337511733,115503649.332098,730.55390266499,0,0.0555214648711304,0
"35",-256952330.016373,-30.0002702330909,-1570.7485908352,-0.327346247718051,6.73416918676879,-24.5300749322972,-128474577.659503,1.37831852754603,-1.14825068433651,0.163673123859025,0,-128476978.269327,-0.173987705690072,0,-59.2607112060979,0,-47.71813078002,-14.6436537067024,87.8826629116428,19.4079106585067,128474582.781667,789.988927284344,0,0.0579959018966906,0
