"","tran.ALK.dC","tran.ALK.flux.up","tran.ALK.flux.down","tran.DIC.dC","tran.DIC.flux.up","tran.DIC.flux.down","tran.TOT_P.dC","tran.TOT_P.flux.up","tran.TOT_P.flux.down","tran.TOT_N5.dC","tran.TOT_N5.flux.up","tran.TOT_N5.flux.down","tran.TOT_N3.dC","tran.TOT_N3.flux.up","tran.TOT_N3.flux.down","tran.TOT_S6.dC","tran.TOT_S6.flux.up","tran.TOT_S6.flux.down","tran.TOT_S2.dC","tran.TOT_S2.flux.up","tran.TOT_S2.flux.down","tran.CH4.dC","tran.CH4.flux.up","tran.CH4.flux.down","tran.O2.dC","tran.O2.flux.up","tran.O2.flux.down","tran.N2.dC","tran.N2.flux.up","tran.N2.flux.down","tran.Mn2.dC","tran.Mn2.flux.up","tran.Mn2.flux.down","tran.Fe2.dC","tran.Fe2.flux.up","tran.Fe2.flux.down","tran.Ca2.dC","tran.Ca2.flux.up","tran.Ca2.flux.down","tran.MnO2.dC","tran.MnO2.flux.up","tran.MnO2.flux.down","tran.OM.dC","tran.OM.flux.up","tran.OM.flux.down","tran.FeOH3.dC","tran.FeOH3.flux.up","tran.FeOH3.flux.down","tran.FeOH3_P.dC","tran.FeOH3_P.flux.up","tran.FeOH3_P.flux.down","tran.FeCO3.dC","tran.FeCO3.flux.up","tran.FeCO3.flux.down","tran.S0.dC","tran.S0.flux.up","tran.S0.flux.down","tran.FeS.dC","tran.FeS.flux.up","tran.FeS.flux.down","tran.Viv.dC","tran.Viv.flux.up","tran.Viv.flux.down","tran.CaCO3.dC","tran.CaCO3.flux.up","tran.CaCO3.flux.down","tran.Apatite.dC","tran.Apatite.flux.up","tran.Apatite.flux.down"
"66",-33.3748047576151,-2.38210122656114,0.0107455148575227,-117.25471424784,-6.42933799693483,0.0321259051719922,-2.0797706643193,-0.0933415797187303,0.000578259788924323,1.00406994765013e-37,0.180992067571288,4.50883378497732e-137,-35.2616590115524,-1.64749061094238,0.00533708863697067,0.000605455707971154,0.141469276829215,0,0.167280575436634,-0.0112354927501366,5.49618399826871e-05,-116.803640019942,-4.47963532492066,0.0188842826673135,2.79667865932621e-39,1.4033935513501,4.68925449043331e-141,0,-0.0904478571882257,4.81765974183457e-05,0,-0.0499271950928317,7.28049071682933e-05,0.0957736657338991,-0.125537610011547,1.59860716370479e-05,-0.191626415247809,-0.00836154480601902,0.00108898916942632,-3.85507256070134e-24,0.05,7.66823163450352e-119,233.608490951268,10.95,1.64902868130101e-05,4.94924598902074e-24,0.2,3.14610137310824e-28,4.84028400715086e-44,0,1.08604734089545e-140,0.256429694988948,0,8.61401706630805e-15,0,0,0.0692557898902866,-0.167886031145106,0,0.0609230323537585,-0.0614391098592452,0,0.00450779052101638,0.193433621520878,0.01,1.35205421961626e-11,-0.000602402090233528,0.01,0.010183155337011
"67",-32.9066053422849,-2.38210122656114,0.0107455148575227,-115.587481949656,-6.42933799693483,0.0321259051719922,-2.04917083513227,-0.0933415797187303,0.000578259788924323,2.05924364618606e-38,0.180992067571288,4.50883378497732e-137,-34.7606830214157,-1.64749061094238,0.00533708863697067,0.00047924640492158,0.141469276829215,0,0.159635836177094,-0.0112354927501366,5.49618399826871e-05,-115.144283262141,-4.47963532492066,0.0188842826673135,5.66384919358552e-40,1.4033935513501,4.68925449043331e-141,0,-0.0904478571882257,4.81765974183457e-05,0,-0.0499271950928317,7.28049071682933e-05,0.0897072052447752,-0.125537610011547,1.59860716370479e-05,-0.186774536830797,-0.00836154480601902,0.00108898916942632,-3.93105516598276e-23,0.05,7.66823163450352e-119,230.289525017081,10.95,1.64902868130101e-05,2.81650916883926e-23,0.2,3.14610137310824e-28,1.99645159698417e-44,0,1.08604734089545e-140,0.253647815582525,0,8.61401706630805e-15,0,0,0.0692557898902866,-0.160115082581968,0,0.0609230323537585,-0.0610799794151367,0,0.00450779052101638,0.188592379149443,0.01,1.35205421961626e-11,-0.000605947439477137,0.01,0.010183155337011
"68",-32.4420935281992,-2.38210122656114,0.0107455148575227,-113.935833326712,-6.42933799693483,0.0321259051719922,-2.01885464737523,-0.0933415797187303,0.000578259788924323,4.24893340875654e-39,0.180992067571288,4.50883378497732e-137,-34.2643694370103,-1.64749061094238,0.00533708863697067,0.000379374744007049,0.141469276829215,0,0.152438158898488,-0.0112354927501366,5.49618399826871e-05,-113.500344385358,-4.47963532492066,0.0188842826673135,1.15404744265565e-40,1.4033935513501,4.68925449043331e-141,0,-0.0904478571882257,4.81765974183457e-05,0,-0.0499271950928317,7.28049071682933e-05,0.0841193970091505,-0.125537610011547,1.59860716370479e-05,-0.182029391514918,-0.00836154480601902,0.00108898916942632,4.33378577656126e-23,0.05,7.66823163450352e-119,227.001447520192,10.95,1.64902868130101e-05,-8.60719518444072e-23,0.2,3.14610137310824e-28,4.4414248096068e-45,0,1.08604734089545e-140,0.250872429639862,0,8.61401706630805e-15,0,0,0.0692557898902866,-0.152817533642513,0,0.0609230323537585,-0.060724764335472,0,0.00450779052101638,0.183857762164112,0.01,1.35205421961626e-11,-0.000609456883512381,0.01,0.010183155337011
"69",-31.9813183446384,-2.38210122656114,0.0107455148575227,-112.299699341577,-6.42933799693483,0.0321259051719922,-1.98882229280594,-0.0933415797187303,0.000578259788924323,8.82051043739414e-40,0.180992067571288,4.50883378497732e-137,-33.7726987929735,-1.64749061094238,0.00533708863697067,0.000300338320197327,0.141469276829215,0,0.14565625665803,-0.0112354927501366,5.49618399826871e-05,-111.871764413307,-4.47963532492066,0.0188842826673135,2.36587510550577e-41,1.4033935513501,4.68925449043331e-141,0,-0.0904478571882257,4.81765974183457e-05,0,-0.0499271950928317,7.28049071682933e-05,0.0789683466344727,-0.125537610011547,1.59860716370479e-05,-0.177388930586796,-0.00836154480601902,0.00108898916942632,-3.77620907290109e-26,0.05,7.66823163450352e-119,223.744129503405,10.95,1.64902868130101e-05,6.0118841331095e-23,0.2,3.14610137310824e-28,2.643050893966e-46,0,1.08604734089545e-140,0.248106531524206,0,8.61401706630805e-15,0,0,0.0692557898902866,-0.145956594978366,0,0.0609230323537585,-0.0603727610601027,0,0.00450779052101638,0.179227720036317,0.01,1.35205421961626e-11,-0.000612929817444033,0.01,0.010183155337011
"70",-31.5243252555958,-2.38210122656114,0.0107455148575227,-110.679018669274,-6.42933799693483,0.0321259051719922,-1.95907395932176,-0.0933415797187303,0.000578259788924323,1.84230836805846e-40,0.180992067571288,4.50883378497732e-137,-33.2856537078644,-1.64749061094238,0.00533708863697067,0.000237785609716692,0.141469276829215,0,0.139261126828084,-0.0112354927501366,5.49618399826871e-05,-110.25849012179,-4.47963532492066,0.0188842826673135,4.8801083873361e-42,1.4033935513501,4.68925449043331e-141,0,-0.0904478571882257,4.81765974183457e-05,0,-0.0499271950928317,7.28049071682933e-05,0.0742161827765352,-0.125537610011547,1.59860716370479e-05,-0.172851150678857,-0.00836154480601902,0.00108898916942632,6.45024192168691e-24,0.05,7.66823163450352e-119,220.5174558145,10.95,1.64902868130101e-05,-6.98003657532456e-24,0.2,3.14610137310824e-28,1.24829655211595e-46,0,1.08604734089545e-140,0.245352728701789,0,8.61401706630805e-15,0,0,0.0692557898902866,-0.139498912437965,0,0.0609230323537585,-0.0600233330134392,0,0.00450779052101638,0.17470024776942,0.01,1.35205421961626e-11,-0.000616365695653764,0.01,0.010183155337011
"71",-31.071156414928,-2.38210122656114,0.0107455148575227,-109.073737133819,-6.42933799693483,0.0321259051719922,-1.92960983592838,-0.0933415797187303,0.000578259788924323,3.87167563417702e-41,0.180992067571288,4.50883378497732e-137,-32.8032187756268,-1.64749061094238,0.00533708863697067,0.000188274966717608,0.141469276829215,0,0.133225920457772,-0.0112354927501366,5.49618399826871e-05,-108.660473919173,-4.47963532492066,0.0188842826673135,1.0128612751814e-42,1.4033935513501,4.68925449043331e-141,0,-0.0904478571882257,4.81765974183457e-05,0,-0.0499271950928317,7.28049071682933e-05,0.0698286299127785,-0.125537610011547,1.59860716370479e-05,-0.168414092583666,-0.00836154480601902,0.00108898916942632,2.03233914528023e-23,0.05,7.66823163450352e-119,217.321324388572,10.95,1.64902868130101e-05,-1.40466668410256e-23,0.2,3.14610137310824e-28,3.55032856915549e-47,0,1.08604734089545e-140,0.242613279749302,0,8.61401706630805e-15,0,0,0.0692557898902866,-0.133414195424462,0,0.0609230323537585,-0.0596759047459111,0,0.00450779052101638,0.170273384670493,0.01,1.35205421961626e-11,-0.00061976402821711,0.01,0.010183155337011
"72",-30.621850918357,-2.38210122656114,0.0107455148575227,-107.483807165457,-6.42933799693483,0.0321259051719922,-1.90043011606099,-0.0933415797187303,0.000578259788924323,8.18685038700058e-42,0.180992067571288,4.50883378497732e-137,-32.3253804496803,-1.64749061094238,0.00533708863697067,0.000149084149290937,0.141469276829215,0,0.127525806465419,-0.0112354927501366,5.49618399826871e-05,-107.077673655636,-4.47963532492066,0.0188842826673135,2.11527409060484e-43,1.4033935513501,4.68925449043331e-141,0,-0.0904478571882257,4.81765974183457e-05,0,-0.0499271950928317,7.28049071682933e-05,0.0657746317164374,-0.125537610011547,1.59860716370479e-05,-0.164075839881985,-0.00836154480601902,0.00108898916942632,-7.63896528600373e-23,0.05,7.66823163450352e-119,214.155645479348,10.95,1.64902868130101e-05,1.38115281694715e-23,0.2,3.14610137310824e-28,4.85678265334676e-49,0,1.08604734089545e-140,0.239890128836571,0,8.61401706630805e-15,0,0,0.0692557898902866,-0.127674890615039,0,0.0609230323537585,-0.0593299566459657,0,0.00450779052101638,0.165945213011091,0.01,1.35205421961626e-11,-0.000623124377264613,0.01,0.010183155337011
"73",-30.1764450384155,-2.38210122656114,0.0107455148575227,-105.909187276439,-6.42933799693483,0.0321259051719922,-1.87153499948192,-0.0933415797187303,0.000578259788924323,1.74192390075095e-42,0.180992067571288,4.50883378497732e-137,-31.8521269201752,-1.64749061094238,0.00533708863697067,0.000118059767455657,0.141469276829215,0,0.122137835154192,-0.0112354927501366,5.49618399826871e-05,-105.510052363099,-4.47963532492066,0.0188842826673135,4.44521558838017e-44,1.4033935513501,4.68925449043331e-141,0,-0.0904478571882257,4.81765974183457e-05,0,-0.0499271950928317,7.28049071682933e-05,0.0620260183857792,-0.125537610011547,1.59860716370479e-05,-0.159834517545367,-0.00836154480601902,0.00108898916942632,4.95960457875463e-23,0.05,7.66823163450352e-119,211.020340845896,10.95,1.64902868130101e-05,1.98696770841966e-24,0.2,3.14610137310824e-28,2.24289343934469e-48,0,1.08604734089545e-140,0.237184937012305,0,8.61401706630805e-15,0,0,0.0692557898902866,-0.122255894922041,0,0.0609230323537585,-0.0589850201586737,0,0.00450779052101638,0.161713856602603,0.01,1.35205421961626e-11,-0.000626446354151325,0.01,0.010183155337011
"74",-29.7349724449893,-2.38210122656114,0.0107455148575227,-104.349841538034,-6.42933799693483,0.0321259051719922,-1.84292469291317,-0.0933415797187303,0.000578259788924323,3.72948685901123e-43,0.180992067571288,4.50883378497732e-137,-31.3834479848285,-1.64749061094238,0.00533708863697067,9.34982753827756e-05,0.141469276829215,0,0.117040804197429,-0.0112354927501366,5.49618399826871e-05,-103.957577951622,-4.47963532492066,0.0188842826673135,9.40030124444309e-45,1.4033935513501,4.68925449043331e-141,0,-0.0904478571882257,4.81765974183457e-05,0,-0.0499271950928317,7.28049071682933e-05,0.0585572122460124,-0.125537610011547,1.59860716370479e-05,-0.15568829045418,-0.00836154480601902,0.00108898916942632,0,0.05,7.66823163450352e-119,207.915342899674,10.95,1.64902868130101e-05,9.72432823315259e-24,0.2,3.14610137310824e-28,1.67461978323208e-49,0,1.08604734089545e-140,0.234499110590826,0,8.61401706630805e-15,0,0,0.0692557898902866,-0.117134302473392,0,0.0609230323537585,-0.0586406734545057,0,0.00450779052101638,0.157577479309753,0.01,1.35205421961626e-11,-0.000629729616144453,0.01,0.010183155337011
"75",-29.297464400624,-2.38210122656114,0.0107455148575227,-102.805739071499,-6.42933799693483,0.0321259051719922,-1.81459940952126,-0.0933415797187303,0.000578259788924323,8.03506959380366e-44,0.180992067571288,4.50883378497732e-137,-30.9193349160073,-1.64749061094238,0.00533708863697067,7.40518904504451e-05,0.141469276829215,0,0.112215129250393,-0.0112354927501366,5.49618399826871e-05,-102.420222857154,-4.47963532492066,0.0188842826673135,2.00044530988345e-45,1.4033935513501,4.68925449043331e-141,0,-0.0904478571882257,4.81765974183457e-05,0,-0.0499271950928317,7.28049071682933e-05,0.0553449667313198,-0.125537610011547,1.59860716370479e-05,-0.151635361933113,-0.00836154480601902,0.00108898916942632,3.05311071038005e-23,0.05,7.66823163450352e-119,204.840593818317,10.95,1.64902868130101e-05,-3.27615969021021e-23,0.2,3.14610137310824e-28,2.65975093266841e-50,0,1.08604734089545e-140,0.231833826909232,0,8.61401706630805e-15,0,0,0.0692557898902866,-0.112289181141895,0,0.0609230323537585,-0.0582965374995569,0,0.00450779052101638,0.153534283523184,0.01,1.35205421961626e-11,-0.000632973863865108,0.01,0.010183155337011
"76",-28.8639499378613,-2.38210122656114,0.0107455148575227,-101.276853536619,-6.42933799693483,0.0321259051719922,-1.78655936747059,-0.0933415797187303,0.000578259788924323,1.74206301103551e-44,0.180992067571288,4.50883378497732e-137,-30.459780321827,-1.64749061094238,0.00533708863697067,5.86542116983037e-05,0.141469276829215,0,0.107642720590631,-0.0112354927501366,5.49618399826871e-05,-100.897963662137,-4.47963532492066,0.0188842826673135,4.284110712947e-46,1.4033935513501,4.68925449043331e-141,0,-0.0904478571882257,4.81765974183457e-05,0,-0.0499271950928317,7.28049071682933e-05,0.0523681345579292,-0.125537610011547,1.59860716370479e-05,-0.14767397209652,-0.00836154480601902,0.00108898916942632,-7.53008971729829e-23,0.05,7.66823163450352e-119,201.796044632368,10.95,1.64902868130101e-05,3.56174914480759e-23,0.2,3.14610137310824e-28,5.97466662796653e-51,0,1.08604734089545e-140,0.2291900576984,0,8.61401706630805e-15,0,0,0.0692557898902866,-0.107701374803228,0,0.0609230323537585,-0.0579522724843616,0,0.00450779052101638,0.149582508610581,0.01,1.35205421961626e-11,-0.000636178838775965,0.01,0.010183155337011
