"","R.ALK","R.DIC","R.TOT_P","R.TOT_N5","R.TOT_N3","R.TOT_S6","R.TOT_S2","R.CH4","R.O2","R.N2","R.Mn2","R.Fe2","R.Ca2","R.MnO2","R.OM","R.OM_beta","R.FeOH3","R.FeOH3_P","R.FeCO3","R.S0","R.FeS","R.Viv","R.CaCO3","R.Apatite","R.MnCO3","R.Fe2_sorbed"
"407",0.793297117514388,2.81482386100257,0.0452201178324743,-2.86167354689926e-87,0.849758146717758,-1.84085466853239e-24,0.00621419382063057,2.81482386100257,0,1.43083677344963e-87,0,-0.00561296256272079,-7.49312272702503e-06,0,-1.33085883421316e-39,-5.62964772200515,0,-2.22200408587573e-119,0,1.01347720911025e-119,-0.00621419382063057,0.00394238546111712,0,2.49770757567501e-06,0,-3.13876061662567e-20
"408",0.779420470486088,2.76528746984689,0.0443276836926787,-2.04212797896639e-87,0.834803764482081,-1.39645119653708e-24,0.00624352222951945,2.76528746984689,0,1.0210639894832e-87,0,-0.00552030919340626,-7.49595825133174e-06,0,-7.48448192323655e-40,-5.53057493969379,0,-3.98972850593204e-120,0,1.82280617998287e-120,-0.00624352222951945,0.00392127714097524,0,2.49865275044391e-06,0,-3.45198176242631e-20
"409",0.765710156801309,2.71634876628682,0.0434458355648148,-1.46004420214565e-87,0.820029816237531,-1.05850302465109e-24,0.00627212998934291,2.71634876628682,0,7.30022101072827e-88,0,-0.00542941322833824,-7.49870736525005e-06,0,-4.20005583274295e-40,-5.43269753257364,0,-9.98104736129149e-121,0,4.56764031641727e-121,-0.00627212998934291,0.00390051440589371,0,2.49956912175002e-06,0,-7.62429313191712e-19
"410",0.752165684414958,2.6680058706624,0.0425745479806195,-1.04585376482068e-87,0.805435734539591,-8.01711189332685e-25,0.00630002707015027,2.6680058706624,0,5.22926882410342e-88,0,-0.00534024970061251,-7.50137139467309e-06,0,-2.35185183645285e-40,-5.33601174132479,0,-1.77825517921839e-121,0,8.15115498106599e-122,-0.00630002707015027,0.00388009225692093,0,2.5004571315577e-06,0,-3.45066971977927e-20
"411",0.738786535526315,2.62025681252619,0.0417137935447307,-7.50584336502588e-88,0.791020924536208,-6.06740105063788e-25,0.00632722362559245,2.62025681252619,0,3.75292168251294e-88,0,-0.00525279378091563,-7.5039516653649e-06,0,-1.31408796351351e-40,-5.24051362505238,0,-3.1558433273214e-122,0,1.4489069075994e-122,-0.00632722362559245,0.00386000580216936,0,2.5013172217883e-06,0,-3.13637508723365e-20
"412",0.725572166911038,2.5730995318698,0.0408635429609975,-5.3970096654031e-88,0.776784764338052,-4.58823640358994e-25,0.00635372998218785,2.5730995318698,0,2.69850483270155e-88,0,-0.00516702078350557,-7.50644950273723e-06,0,-7.3264993143172e-41,-5.1461990637396,0,-5.57873870913802e-123,0,2.56538046108505e-123,-0.00635372998218785,0.00384025025523114,0,2.50214983424574e-06,0,-3.44935473913194e-20
"413",0.71252201026039,2.52653188037396,0.0400237650591922,-3.88806560065387e-88,0.762726605395912,-3.46694221496832e-25,0.00637955662891375,2.52653188037396,0,1.94403280032694e-88,1.81514881544824e-30,-0.0050829061719331,-7.50886623162965e-06,-1.81514881544824e-30,-4.07590639155445e-41,-5.05306376074792,1.28542496416802e-30,0,0,1.05290812819234e-30,-0.00637955662891375,0.00382082093361562,0,2.50295541054322e-06,0,6.8346887352559e-19
"414",0.699635472527567,2.48055162268178,0.0391944268221128,-2.80635181958887e-88,0.748845772885065,-2.61760767295078e-25,0.00640471420711322,2.48055162268178,0,1.40317590979443e-88,5.69262020947618e-32,-0.00500042556451631,-7.51120317609297e-06,-5.69262020947618e-32,-2.26258820840905e-41,-4.96110324536355,3.32446248086929e-32,0,0,3.63468131194565e-32,-0.00640471420711322,0.00380171325720985,0,2.50373439203099e-06,0,0
"415",0.6869119362809,2.43515643769436,0.0383754934130632,-2.02945850486607e-88,0.735141566096411,-1.97478145372022e-25,0.00642921350071965,2.43515643769436,0,1.01472925243303e-88,4.29692909491548e-31,-0.00491955473956491,-7.51346165917578e-06,-4.29692909491548e-31,-1.25325223729695e-41,-4.87031287538872,1.46430877827457e-31,0,0,3.23160544890614e-31,-0.00642921350071965,0.00378292274676152,0,2.50448721972526e-06,0,2.50718311697094e-19
"416",0.674350760063779,2.3903439198883,0.0375669282037,-1.4704459988545e-88,0.721613258834204,-1.48863920066036e-25,0.00645306542679424,2.3903439198883,0,7.35222999427249e-89,1.5422925995922e-33,-0.00484026964035966,-7.51564300271462e-06,-1.5422925995922e-33,-6.92661633109347e-42,-4.7806878397766,-2.23546603067933e-31,0,0,1.04837209094902e-31,-0.00645306542679424,0.00376444502238464,0,2.50521433423821e-06,0,-1.87062678119809e-17
"417",0.661951278761112,2.34611158065433,0.0367686928022348,-1.06745622097058e-88,0.708260099820175,-1.1212828461551e-25,0.00647628102637539,2.34611158065433,0,5.3372811048529e-89,0,-0.00476254637988671,-7.51774852712745e-06,0,-3.81989546233773e-42,-4.69222316130866,-2.61565145487871e-32,0,0,1.21202536775919e-32,-0.00647628102637539,0.00374627580208737,0,2.50591617570915e-06,0,-2.50622146426997e-20
"418",0.649712803972109,2.30245684965653,0.0359807470819782,-7.76397857945549e-89,0.695081313103857,-8.43908975223234e-26,0.00649887145563461,2.30245684965653,0,3.88198928972775e-89,0,-0.00468636124533349,-7.51977955121056e-06,0,-2.10197503872614e-42,-4.60491369931305,0,-3.72840142421788e-127,0,1.73017703386123e-127,-0.00649887145563461,0.0037284109003227,0,2.50659318373685e-06,0,-7.21966293653144e-18
"419",0.637634624389217,2.25937707621137,0.0352030492102143,-5.65786983710687e-89,0.682076098478905,-6.34643906275631e-26,0.00652084797733924,2.25937707621137,0,2.82893491855343e-89,0,-0.00461169070234465,-7.52173739193922e-06,0,-1.15411050648867e-42,-4.51875415242274,0,-8.13158550302144e-128,0,3.7789418312674e-128,-0.00652084797733924,0.0037108462265613,0,2.50724579731307e-06,0,-1.22256576061383e-17
"420",0.62571600618302,2.21686953068606,0.0344355556773939,-4.13101694651219e-89,0.669243631905225,-4.76889851213842e-26,0.00654222195261825,2.21686953068606,0,2.06550847325609e-89,0,-0.00453851139904153,-7.5236233642717e-06,0,-6.32279402602341e-43,-4.43373906137212,0,-1.6876008977716e-128,0,7.85385584679651e-129,-0.00654222195261825,0.00369357778388659,0,2.50787445475723e-06,0,-4.13287881683065e-18
"421",0.613956193392872,2.17493140591527,0.0336782213266307,-3.0220202126523e-89,0.656583065936686,-3.58062529176493e-26,0.00656300483302676,2.17493140591527,0,1.51101010632615e-89,3.02472473687755e-31,-0.00446680016981057,-7.52543878095705e-06,-3.02472473687755e-31,-3.45629268315937e-43,-4.34986281183054,-1.30241272874358e-31,0,0,3.38643657353258e-31,-0.00656300483302676,0.00367660166761244,0,2.50847959365235e-06,0,2.62950644457681e-19
"422",0.602354408323107,2.13355981863587,0.0329309993834922,-2.21500651589928e-89,0.644093530154225,-2.6862836328624e-26,0.00658320815290771,2.13355981863587,0,1.10750325794964e-89,1.72754958089114e-31,-0.00439653403886025,-7.52718495234657e-06,-1.72754958089114e-31,-1.88516717641935e-43,-4.26711963727174,2.67943338969621e-31,0,0,3.39615027428304e-32,-0.00658320815290771,0.00365991406392265,0,2.50906165078219e-06,0,-1.87785610633807e-20
"423",0.590909851944594,2.09275181093867,0.0321938414860686,-1.62663730039729e-89,0.631774131604127,-2.01370763259502e-26,0.00660284352205148,2.09275181093867,0,8.13318650198647e-90,0,-0.0043276902235463,-7.52886318620894e-06,0,-1.0259475331526e-43,-4.18550362187734,0,-8.27690604781937e-131,0,3.86796912639935e-131,-0.00660284352205148,0.00364351124853259,0,2.50962106206965e-06,0,-3.75498586667426e-20
"424",0.579621704301435,2.05250435173673,0.0314666977153087,-1.19686528327172e-89,0.619623955241277,-1.50831442333748e-26,0.00662192261864025,2.05250435173673,0,5.98432641635861e-90,0,-0.00426024613747893,-7.53047478754919e-06,0,-5.57101600762316e-44,-4.10500870347346,0,-1.39502591971008e-131,0,6.52800424811924e-132,-0.00662192261864025,0.00362738958537306,0,2.5101582625164e-06,0,-3.12854895147235e-20
"425",0.568489124922619,2.01281433824928,0.0307495166256077,-8.82346798639593e-90,0.607642064377142,-1.1288536032869e-26,0.00664045718248828,2.01281433824928,0,4.41173399319797e-90,0,-0.00419417939339884,-7.53202105843148e-06,0,-3.01839230448393e-44,-4.02562867649856,0,-2.34179385828537e-132,0,1.09728988895419e-132,-0.00664045718248828,0.00361154552529571,0,2.51067368614383e-06,0,-2.81514812983027e-20
"426",0.557511253238405,1.97367859750078,0.0300422452756369,-6.51738633685919e-90,0.59582750113231,-8.44175967871549e-27,0.00665845900856445,1.97367859750078,0,3.25869316842959e-90,0,-0.00412946780583644,-7.53350329780567e-06,0,-1.63172527876256e-44,-3.94735719500155,0,-3.91529177789858e-133,0,1.83697334519868e-133,-0.00665845900856445,0.0035959756048003,0,2.51116776593522e-06,0,-3.75280216252905e-20
"427",0.546687209001224,1.93509388783416,0.0293448292593983,-4.82334423658697e-90,0.58417928689333,-6.30779124063291e-27,0.00667593994079842,1.93509388783416,0,2.41167211829348e-90,0,-0.00406608939355254,-7.53492280133789e-06,0,-8.80129411582812e-45,-3.87018777566831,-1.39897860101972e-31,0,0,6.57214755968571e-32,-0.00667593994079842,0.00358067644478365,0,2.5116409337793e-06,0,1.87603635594071e-20
"428",0.536016092710905,1.8970569004377,0.0286572127374915,-3.57654878323486e-90,0.572696422773645,-4.70944735081398e-27,0.00669291186616772,1.8970569004377,0,1.78827439161743e-90,0,-0.00400402238176294,-7.53628086124493e-06,0,-4.73666012369574e-45,-3.7941138008754,0,-1.46666021783577e-134,0,6.89882016315451e-135,-0.00669291186616772,0.00356564474931022,0,2.51209362041498e-06,0,-3.61066714633023e-18
"429",0.525496986043992,1.8595642608847,0.0279793384685822,-2.65718346040427e-90,0.5613778900784,-3.51325945476574e-27,0.00670938670906386,1.8595642608847,0,1.32859173020213e-90,0,-0.00394324520414663,-7.5375787661327e-06,0,-2.54344395946402e-45,-3.7191285217694,0,-2.42256108077615e-135,0,1.1409346058378e-135,-0.00670938670906385,0.00355087730440349,0,2.51252625537757e-06,0,-3.75061149784335e-20
"430",0.515128952286945,1.82261253068522,0.0273111478410529,-1.97797472669659e-90,0.550222650772898,-2.61877071844551e-27,0.00672537642593001,1.82261253068522,0,9.88987363348293e-91,2.43653562922022e-32,-0.00388373650464888,-7.5388178008386e-06,-2.43653562922022e-32,-1.3626817862223e-45,-3.64522506137045,-4.58890758371404e-31,0,0,2.39088164410468e-31,-0.00672537642593001,0.00353637097685963,0,2.5129392669462e-06,0,1.74994387783695e-19
"431",0.504911036773017,1.78619820884919,0.0266525809048283,-1.47523766350677e-90,0.539229647954471,-1.95043297586924e-27,0.00674089300017653,1.78619820884919,0,7.37618831753386e-91,0,-0.00382547513906644,-7.53999924627799e-06,0,-7.28428833343253e-46,-3.57239641769837,0,-6.52943989873797e-137,0,3.08260936434152e-137,-0.00674089300017653,0.00352212271308099,0,2.51333308209266e-06,0,-3.74914721273607e-20
