"","R1","R2","R3","R4","R5","R6","R1b","R2b","R3b","R4b","R5b","R6b","R7","R8","R9","R10","R11","R12","R13","R14","R15","R16","R17","R18","R19","R20","R21","R22","R23","R24","R25","R26","R27"
"12",3.57110493965418,0.863415919564603,0.0229310185215526,0.00831688845074429,9.77835764094178e-05,0.00149079828354227,0.16916206770508,0.0408997284345208,0.00108623481338103,0.000393968273398499,4.63197588772529e-06,7.06186248897004e-05,0,0,0.178700098058026,0.00178369434223667,0.000156674482567696,5.14096721581094e-09,0,0,0,0,0,0,0,0,0.177655889134676,37.8690441017871,0.00252855110727136,0,0.000780746572608224,0,0
"13",3.19206863485259,0.834951042913971,0.0223221735590837,0.00811102428036883,9.5357620074995e-05,0.00145388441748456,0.165895066376375,0.0433932582692206,0.00116010615304961,0.000421538214022242,4.95583288501721e-06,7.55598577388725e-05,0,0,0.12522019807725,0.00121091245673632,0.0001014511281936,5.4489588473671e-09,0,0,0,0,0,0,0,0,0.130273742529231,33.8953169587958,0.00176854175207899,0,0.000764741149033498,0,0
"14",2.8453224537189,0.805247380782248,0.0216732481215566,0.00788757655940516,9.27254707459381e-05,0.00141382394605628,0.162511620356458,0.0459919952016957,0.00123787540003355,0.000450501786073201,5.29604877631434e-06,8.07510656910125e-05,0,0,0.0873358222554579,0.000826691793901406,6.53802261713704e-05,5.76220344739475e-09,0,0,0,0,0,0,0,0,0.0961020658878865,30.3809173761139,0.0012315436488192,0,0.000747285602365041,0,0
"15",2.52878170040642,0.774419204268081,0.0209859274867528,0.00764781072974058,8.99019455553146e-05,0.00137084225330333,0.159011242242726,0.0486959232849161,0.00131960714471637,0.000480898720667684,5.65308584781793e-06,8.61993463419742e-05,0,0,0.0606262379853986,0.000569520900367287,4.19303068998601e-05,6.07982755567501e-09,0,0,0,0,0,0,0,0,0.0715638432205695,27.2665951160929,0.000853741363633431,0,0.000728496660199541,0,0
"16",2.24046478081598,0.742587046443852,0.0202622886102151,0.00739296135200211,8.690151922716e-05,0.00132515953735938,0.155394110761242,0.0515043372843973,0.00140535140187532,0.000512760863292033,6.02731380548072e-06,9.19103882765532e-05,0,0,0.0418855310180723,0.000397491398848658,2.67588135269665e-05,6.40083024299217e-09,0,0,0,0,0,0,0,0,0.0540074490547871,24.5015483228307,0.000589124488067842,0,0.000708487878223862,0,0
"17",1.97849000719487,0.70987881679013,0.0195048020630961,0.0071242762931504,8.37388384348091e-05,0.00127699865320257,0.151661157915258,0.0544157630022848,0.00149514066537598,0.000546111422346443,6.41900093167922e-06,9.78883359009311e-05,0,0,0.0288000055156754,0.00028223642815039,1.69915680640333e-05,6.72410460370339e-09,0,0,0,0,0,0,0,0,0.0414792080483814,22.0421073604729,0.000404636580026581,0,0.000687373506421651,0,0
"18",1.74107169441775,0.676430848705588,0.018716341254689,0.00684305421821522,8.04291582438685e-05,0.00122659176994186,0.147814156375255,0.0574278793734866,0.00158898694514612,0.000580964178292429,6.8283047802722e-06,0.000104135647183341,0,0,0.0197080434119881,0.000204677967203682,1.07351045000436e-05,7.0484695358799e-09,0,0,0,0,0,0,0,0,0.0325488700664986,19.8506411929336,0.000276621155543657,0,0.000665271754572061,0,0
"19",1.52651558820679,0.642388766115568,0.0179001943515312,0.00655067540277564,7.69887007456655e-05,0.0011741858438242,0.143855804761194,0.060537444643891,0.0016868788525417,0.000617322672022389,7.25526263134766e-06,0.000110652947672126,0,0,0.013422236921465,0.000152065252961563,6.74799799751992e-06,7.3727135294811e-09,0,0,0,0,0,0,0,0,0.0261762604034218,17.8946457002726,0.000188220469291282,0,0.000642307455672293,0,0
"20",1.33321371770858,0.607908038312154,0.017060073812506,0.00624862551471279,7.34349316511932e-05,0.00112004684203006,0.13978980804399,0.0637402292335469,0.00178877880702078,0.000655179398200138,7.69978201010953e-06,0.000117438885429982,0,0,0.00909830925736946,0.000115927840422907,4.220319798628e-06,7.69565192725606e-09,0,0,0,0,0,0,0,0,0.021610013418833,16.1459812735506,0.000127475564962536,0,0.000618614093824637,0,0
"21",1.15963882254305,0.573154084214813,0.0162001182117337,0.00593851169761332,6.97867469027652e-05,0.00106446259566436,0.135620949913224,0.0670309581196964,0.00189462044377208,0.000694515035064907,8.16163164109265e-06,0.00012448999254312,0,0,0.00613900791208423,9.06712775260167e-05,2.62631654419606e-06,8.01619860956726e-09,0,0,0,0,0,0,0,0,0.0183111939148885,14.5802333170543,8.59425607218134e-05,0,0.000594335136155271,0,0
