"","R.ALK","R.DIC","R.TOT_P","R.TOT_N5","R.TOT_N3","R.TOT_S6","R.TOT_S2","R.CH4","R.O2","R.N2","R.Mn2","R.Fe2","R.Ca2","R.MnO2","R.OM","R.OM_beta","R.FeOH3","R.FeOH3_P","R.FeCO3","R.S0","R.FeS","R.Viv","R.CaCO3","R.Apatite","R.MnCO3","I.TOT_S6","I.O2","I.TOT_N5"
"31",144.480573432292,99.1051554523747,-0.26502095543853,-0.207808345516382,9.86719187140681,-33.8797480790867,21.3419616816008,0,-25.0286769144103,0.801282978666984,20.2982053711284,12.8923226797501,0,-20.2982053711284,-99.1051554523747,0,-14.8922814333485,1.99995875359841,0,12.5377863974859,0,0,0,0,0,25.6872761721064,22.5878823499579,0.156357055116208
"32",150.010425313199,98.0972273561086,-0.255882146881016,-0.196120573840664,9.88371632369758,-34.0563737658261,21.3978872050691,0,-24.393252451403,0.72990822485044,14.7113880035411,21.0695913650226,0,-14.7113880035411,-98.0972273561086,0,-23.0384708449833,1.96887947996062,0,12.658486560757,0,0,0,0,0,26.0945610578618,22.2802367084332,0.154451415799182
"33",154.038883024,97.0995501801161,-0.249015745289261,-0.186699189459138,9.88088985030242,-34.1725833826034,21.3971630498647,0,-23.7782425841462,0.669924566175866,10.292802133041,27.3957536038302,0,-10.292802133041,-97.0995501801161,0,-29.3375023330877,1.9417487292575,0,12.7754203327386,0,0,0,0,0,26.4654007516295,21.9745666957558,0.152513968012211
"34",156.496981315968,96.112019669573,-0.243353633719111,-0.178770485889544,9.86177019177049,-34.2375568451605,21.3517594726218,0,-23.1901578644549,0.619410355557992,6.97589879336356,31.8930878637703,0,-6.97589879336356,-96.112019669573,0,-33.8098725311256,1.91678466735534,0,12.8857973725387,0,0,0,0,0,26.8016497890673,21.6712281829328,0.150556405847156
"35",157.534387768679,95.1345326299569,-0.238469088117078,-0.171997139133796,9.82915031867047,-34.2594000655826,21.2718459632325,0,-22.6348325560637,0.576794582388302,4.59551281107544,34.7924727347208,0,-4.59551281107544,-95.1345326299569,0,-36.6857471996637,1.89327446494288,0,12.98755410235,0,0,0,0,0,27.1051356567194,21.3705320398226,0.148587893119393
"36",157.407521958916,94.1669869162633,-0.234118214370768,-0.165743130667093,9.78496750595207,-34.2451214685584,21.1657735124115,0,-22.1165235547189,0.54078479623611,2.95211625667931,36.4141088287252,0,-2.95211625667931,-94.1669869162633,0,-38.2849188545046,1.87081002577933,0,13.0793479561469,0,0,0,0,0,27.3776430464644,21.0727410876378,0.146615654188263
"37",156.398258173188,93.2092814223324,-0.23015713643275,-0.160266315633475,9.73181866610097,-34.2007344678319,21.0402769155896,0,-21.6348152794912,0.51020572376241,1.85473419102225,37.0825393686561,0,-1.85473419102225,-93.2092814223324,0,-38.9316893353888,1.84914996673277,0,13.1604575522423,0,0,0,0,0,27.6209019126518,20.7780689355035,0.144645887018426
"38",154.762367670351,92.2613160702828,-0.226481508497665,-0.15546215917204,9.67153701657592,-34.1312612596102,20.9006154535374,0,-21.1878451488864,0.484082802564129,1.14270252941599,37.0804797040263,0,-1.14270252941599,-92.2613160702828,0,-38.9085985086023,1.82811880457603,0,13.2306458060728,0,0,0,0,0,27.8365787571827,20.4866835366048,0.14268351655422
"39",152.708776939223,91.3229918000544,-0.223013539233508,-0.151196633086377,9.60557148090635,-34.0408408081969,20.7508172303034,0,-20.7724398316966,0.461618928365828,0.692012234345293,36.6316446004564,0,-0.692012234345293,-91.3229918000544,0,-38.4392299299974,1.80758532954097,0,13.2900235778935,0,0,0,0,0,28.0262708453714,20.1987119165228,0.140732404291674
"40",150.396228417762,90.3942105590564,-0.219697638584376,-0.147417794943063,9.5351661437289,-33.9328597718115,20.5939266589376,0,-20.3846371559692,0.442160516462561,0.412788754394441,35.9013248940468,0,-0.412788754394441,-90.3942105590564,0,-37.6887802438739,1.78745534982704,0,13.3389331128739,0,0,0,0,0,28.1915028465686,19.9142458221172,0.138795577021142
"41",147.93890480517,89.4748752919214,-0.216494257473644,-0.144073901272962,9.46130475017169,-33.8100707232745,20.4322130971459,0,-20.0204351244272,0.425184308046168,0.242979549279869,35.0054656755714,0,-0.242979549279869,-89.4748752919214,0,-36.7731270998502,1.76766142427874,0,13.3778576261286,0,0,0,0,0,28.3337253908401,19.6333477027895,0.136875342497635
"42",145.415204706337,88.564889930363,-0.213370990603817,-0.140941435229702,9.38456776615749,-33.6747023817892,20.2673463578145,0,-19.6764988474501,0.410282853306732,0.141363087906139,34.0220967874776,0,-0.141363087906139,-88.564889930363,0,-35.7702448210369,1.74814803355924,0,13.4073560239747,0,0,0,0,0,28.4543151100104,19.3560562890634,0.134973396491131
"43",142.87734819918,87.6641593831371,-0.210311395103234,-0.138035500054763,9.30566330795397,-33.5285872577767,20.1005687814982,0,-19.349458390367,0.397104242819549,0.0814025776458627,33.0016791626115,0,-0.0814025776458627,-87.6641593831371,0,-34.7305654403486,1.7288862777371,0,13.4280184762785,0,0,0,0,0,28.5545757906605,19.0823911521933,0.133091116214694
"44",140.358829583316,86.7725895261051,-0.20730822196676,-0.135425989714137,9.22523563206087,-33.3732326611213,19.9327949530053,0,-19.0363624494,0.385355947355331,0.0464529918345398,31.9757442168314,0,-0.0464529918345398,-86.7725895261051,0,-33.6856068120292,1.70986259519782,0,13.440437708116,0,0,0,0,0,28.6357402666589,18.8123569554949,0.131229564108463
"45",137.879910116797,85.890087192398,-0.204348185125926,-0.132882035774856,9.14347550286097,-33.2098685970356,19.7646771304032,0,-18.7354063368368,0.374821856934101,0.0262988351489425,30.9634347643331,0,-0.0262988351489425,-85.890087192398,0,-32.6544881419392,1.69105337760607,0,13.4451914666324,0,0,0,0,0,28.6989728344564,18.5459470160231,0.129389431627975
"46",135.452563788182,85.0165601626809,-0.201428028110438,-0.130412234809517,9.06078255616809,-33.0395360339851,19.5967034469587,0,-18.4447268375714,0.365301212200313,0.0147851467742402,29.9756493037875,0,-0.0147851467742402,-85.0165601626809,0,-31.6481010513093,1.67245174752181,0,13.4428325870264,0,0,0,0,0,28.7453720433526,18.2831456015407,0.127571314017295
"47",133.083139768448,84.1519171555163,-0.198549443559709,-0.128072189981715,8.97756811459166,-32.8631227537808,19.4292388480634,0,-18.1627322615586,0.356610966985725,0.00826138270328403,29.0180908736736,0,-0.00826138270328403,-84.1519171555163,0,-30.6721499644417,1.654059090768,0,13.4338839057174,0,0,0,0,0,28.775973645788,18.0239301062576,0.125775706925505
"48",130.774623168769,83.2960678178251,-0.195718372011204,-0.125975660916572,8.89423880524996,-32.6813831803819,19.2625469877531,0,-17.8880292071097,0.348599553846093,0.00459143589397372,28.09337054902,0,-0.00459143589397372,-83.2960678178251,0,-29.7292544366146,1.63588388759455,0,13.4188361926288,0,0,0,0,0,28.7917536196535,17.7682728327512,0.124002953987832
"49",128.527860807256,82.4489227154452,-0.192933483907542,-0.124053390517972,8.81090092518336,-32.4949419427182,19.0967940228651,0,-17.6198710773633,0.341174114226696,0.00253985039917083,27.2025047107062,0,-0.00253985039917083,-82.4489227154452,0,-28.8204272265811,1.61792251587491,0,13.3981479198532,0,0,0,0,0,28.7936312150468,17.51614247321,0.122253138663501
"50",126.342601960319,81.6103933237861,-0.190189984490294,-0.122204127126349,8.72755015930494,-32.3043237658096,18.932077612401,0,-17.3577812571408,0.334281150034913,0.00139925123112508,26.3456058276579,0,-0.00139925123112508,-81.6103933237861,0,-27.9457714201069,1.60016559244902,0,13.3722461534086,0,0,0,0,0,28.7824720141522,17.2675049474187,0.120526172616331
